Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,65,15770,8744,6073,1321,1637,854,5389,33268,1029,6082
C:\Users\Chris\Documents\GitHub\Sign_code_2018\main code\main\Due,65,15770,8744,6073,1321,1637,854,5389,33268,1029,6082
C:\Users\Chris\Documents\GitHub\Sign_code_2018\main code\main\Due\libs,36,12081,6867,4833,1101,620,442,4594,26372,728,5039
C:\Users\Chris\Documents\GitHub\Sign_code_2018\main code\main\Due\libs\DueTimer,2,394,190,143,22,73,3,131,504,17,79
C:\Users\Chris\Documents\GitHub\Sign_code_2018\main code\main\Due\libs\sdfatlib,31,10302,5700,4238,992,280,426,4322,24949,613,4311
C:\Users\Chris\Documents\GitHub\Sign_code_2018\main code\main\Due\libs\sdfatlib\SdFat,29,10173,5623,4186,986,272,420,4278,24658,575,4037
C:\Users\Chris\Documents\GitHub\Sign_code_2018\main code\main\Due\libs\sdfatlib\SdFat\utility,2,677,463,366,28,1,233,213,1458,54,324
C:\Users\Chris\Documents\GitHub\Sign_code_2018\main code\main\Due\libs\sdfatlib\extra,2,129,77,52,6,8,6,44,291,38,274
C:\Users\Chris\Documents\GitHub\Sign_code_2018\main code\main\Due\libs\sdfatlib\extra\SdFatTestSuite,2,129,77,52,6,8,6,44,291,38,274
C:\Users\Chris\Documents\GitHub\Sign_code_2018\main code\main\Due\libs\soft_uart-master,3,1385,977,452,87,267,13,141,919,98,649
